datetime_utc,temperature
19961211-14:00,12
19961211-15:00,11
19961211-17:00,10
19961211-18:00,9
19961211-19:00,8
19961211-20:00,7
19961211-21:00,17
19961211-22:00,7
19961211-23:00,6
19961212-00:00,6
19961212-01:00,6
19961212-02:00,6
19961212-03:00,9
19961212-04:00,13
19961212-06:00,18
19961212-07:00,20
19961212-10:00,21
19961212-13:00,15
19961212-14:00,14
19961212-15:00,13
19961212-16:00,11
19961212-17:00,10
19961212-19:00,
19961212-20:00,8
19961212-22:00,7
19961212-23:00,7
19961213-00:00,6
19961213-01:00,6
19961213-02:00,8
19961213-03:00,10
19961213-04:00,12
19961213-05:00,16
19961213-06:00,17
19961213-07:00,19
19961213-08:00,20
19961213-09:00,21
19961213-10:00,21
19961213-11:00,19
19961213-12:00,16
19961213-13:00,14
19961213-15:00,12
19961213-17:00,12
19961213-18:00,10
19961213-19:00,9
19961213-21:00,7
19961213-22:00,7
19961213-23:00,7
19961214-00:00,7
19961214-01:00,7
19961214-02:00,8
19961214-03:00,9
19961214-04:00,12
19961214-05:00,15
19961214-06:00,18
19961214-07:00,19
19961214-08:00,20
19961214-09:00,21
19961214-10:00,21
19961214-11:00,19
19961214-12:00,16
19961214-13:00,14
19961214-14:00,13
19961214-16:00,10
19961214-17:00,10
19961214-19:00,8
19961214-20:00,8
19961214-21:00,7
19961214-22:00,7
19961214-23:00,7
19961215-00:00,6
19961215-01:00,5
19961215-02:00,6
19961215-03:00,9
19961215-04:00,13
19961215-05:00,16
19961215-08:00,21
19961215-10:00,21
19961215-11:00,19
19961215-12:00,16
19961215-13:00,15
19961215-14:00,14
19961215-15:00,12
19961215-16:00,12
19961215-17:00,12
19961215-18:00,12
19961215-20:00,10
19961215-21:00,9
19961215-22:00,8
19961216-00:00,8
19961216-01:00,7
19961216-02:00,10
19961216-03:00,12
19961216-05:00,17
19961216-06:00,20
19961216-07:00,21
19961216-08:00,22
19961216-09:00,23
19961216-10:00,22
19961216-11:00,21
19961216-12:00,15
19961216-13:00,15
19961216-14:00,13
19961216-15:00,14
19961216-16:00,13
19961216-17:00,13
19961216-18:00,11
19961216-19:00,12
19961216-20:00,12
19961216-21:00,11
19961216-22:00,10
19961216-23:00,8
19961217-00:00,8
19961217-01:00,9
19961217-02:00,11
19961217-03:00,17
19961217-05:00,21
19961217-06:00,21
19961217-07:00,23
19961217-08:00,23
19961217-09:00,23
19961217-10:00,23
19961217-11:00,21
19961217-13:00,17
19961217-14:00,14
19961217-15:00,13
19961217-16:00,12
19961217-17:00,12
19961217-18:00,9
19961217-19:00,9
19961217-20:00,9
19961217-21:00,8
19961217-22:00,9
19961217-23:00,8
19961218-00:00,
19961218-01:00,8
19961218-02:00,
19961218-03:00,11
19961218-04:00,17
19961218-05:00,14
19961218-06:00,17
19961218-07:00,19
19961218-08:00,20
19961218-09:00,20
19961218-10:00,20
19961218-11:00,19
19961218-12:00,16
19961218-13:00,14
19961218-14:00,13
19961218-15:00,11
19961218-16:00,10
19961218-17:00,11
19961218-18:00,10
19961218-19:00,8
19961218-20:00,9
19961218-21:00,8
19961218-22:00,7
19961218-23:00,7
19961219-01:00,7
19961219-03:00,9
19961219-05:00,15
19961219-06:00,18
19961219-07:00,19
19961219-08:00,19
19961219-09:00,20
19961219-10:00,20
19961219-11:00,18
19961219-12:00,15
19961219-13:00,14
19961219-14:00,14
19961219-15:00,12
19961219-16:00,10
19961219-18:00,10
19961219-19:00,10
19961219-20:00,8
19961219-21:00,9
19961219-22:00,8
19961219-23:00,7
19961220-00:00,7
19961220-01:00,8
19961220-05:00,13
19961220-06:00,16
19961220-08:00,19
19961220-10:00,19
19961220-11:00,17
19961220-12:00,15
19961220-13:00,14
19961220-14:00,13
19961220-15:00,13
19961220-16:00,13
19961220-17:00,13
19961220-18:00,12
19961220-19:00,12
19961220-20:00,10
19961220-21:00,10
19961220-22:00,10
19961220-23:00,10
19961221-00:00,10
19961221-01:00,10
19961221-02:00,10
19961221-03:00,13
19961221-04:00,15
19961221-05:00,15
19961221-06:00,17
19961221-07:00,22
19961221-08:00,23
19961221-09:00,23
19961221-10:00,23
19961221-11:00,22
19961221-12:00,19
19961221-13:00,17
19961221-14:00,18
19961221-15:00,17
19961221-16:00,17
19961221-17:00,18
19961221-18:00,18
19961221-19:00,16
19961221-20:00,15
19961221-21:00,14
19961221-22:00,9
19961221-23:00,8
19961222-00:00,7
19961222-01:00,6
19961222-02:00,5
19961222-03:00,9
19961222-04:00,12
19961222-05:00,15
19961222-07:00,19
19961222-08:00,20
19961222-09:00,21
19961222-10:00,20
19961222-11:00,19
19961222-12:00,17
19961222-13:00,14
19961222-14:00,14
19961222-15:00,13
19961222-16:00,13
19961222-17:00,11
19961222-18:00,11
19961222-19:00,9
19961222-20:00,9
19961222-21:00,9
19961222-22:00,9
19961222-23:00,9
19961223-00:00,9
19961223-01:00,10
19961223-02:00,11
19961223-03:00,
19961223-04:00,11
19961223-05:00,8
19961223-06:00,15
19961223-07:00,17
19961223-08:00,18
19961223-09:00,18
19961223-10:00,18
19961223-11:00,17
19961223-12:00,15
19961223-13:00,14
19961223-14:00,13
19961223-15:00,13
19961223-16:00,11
19961223-17:00,11
19961223-18:00,11
19961223-19:00,10
19961223-20:00,9
19961224-00:00,8
19961224-01:00,8
19961224-02:00,9
19961224-03:00,10
19961224-04:00,13
19961224-05:00,16
19961224-06:00,18
19961224-07:00,20
19961224-08:00,21
19961224-09:00,22
19961224-10:00,22
19961224-11:00,20
19961224-12:00,18
19961224-13:00,
19961224-14:00,14
19961224-15:00,14
19961224-16:00,13
19961224-17:00,13
19961224-18:00,13
19961224-19:00,13
19961224-20:00,12
19961224-21:00,11
19961224-22:00,10
19961224-23:00,10
19961225-00:00,10
19961225-01:00,10
19961225-02:00,11
19961225-03:00,16
19961225-04:00,18
19961225-05:00,21
19961225-06:00,22
19961225-08:00,23
19961225-09:00,22
19961225-10:00,22
19961225-11:00,21
19961225-12:00,18
19961225-15:00,15
19961225-16:00,13
19961225-17:00,13
19961225-18:00,13
19961225-19:00,12
19961225-20:00,12
19961225-21:00,11
19961225-22:00,12
19961225-23:00,11
19961226-00:00,10
19961226-01:00,10
19961226-02:00,
19961226-04:00,16
19961226-05:00,19
19961226-07:00,
19961226-08:00,23
19961226-09:00,23
19961226-10:00,23
19961226-11:00,22
19961226-12:00,19
19961226-13:00,17
19961226-14:00,18
19961226-15:00,17
19961226-16:00,17
19961226-17:00,16
19961226-18:00,15
19961226-19:00,13
19961226-20:00,13
19961226-21:00,12
19961226-22:00,11
19961226-23:00,11
19961227-00:00,10
19961227-02:00,11
19961227-03:00,12
19961227-05:00,16
19961227-06:00,19
19961227-07:00,20
19961227-08:00,21
19961227-09:00,21
19961227-10:00,21
19961227-11:00,20
19961227-12:00,17
19961227-13:00,16
19961227-14:00,15
19961227-15:00,14
19961227-16:00,13
19961227-17:00,13
19961227-18:00,11
19961227-19:00,12
19961227-20:00,10
19961227-21:00,11
19961227-22:00,9
19961228-00:00,9
19961228-01:00,9
19961228-03:00,11
19961228-04:00,14
19961228-05:00,16
19961228-07:00,20
19961228-08:00,21
19961228-09:00,21
19961228-10:00,21
19961228-11:00,20
19961228-12:00,18
19961228-13:00,16
19961228-14:00,15
19961228-15:00,15
19961228-16:00,14
19961228-17:00,12
19961228-18:00,11
19961228-19:00,11
19961228-20:00,11
19961228-21:00,11
19961228-22:00,11
19961228-23:00,11
19961229-01:00,10
19961229-02:00,11
19961229-03:00,13
19961229-04:00,15
19961229-05:00,18
19961229-06:00,19
19961229-07:00,20
19961229-08:00,21
19961229-09:00,22
19961229-11:00,21
19961229-12:00,18
19961229-13:00,16
19961229-14:00,15
19961229-15:00,14
19961229-16:00,13
19961229-17:00,14
19961229-18:00,13
19961229-19:00,13
19961229-20:00,11
19961229-21:00,11
19961229-22:00,10
19961229-23:00,10
19961230-00:00,10
19961230-01:00,10
19961230-02:00,11
19961230-03:00,14
19961230-04:00,16
19961230-05:00,19
19961230-06:00,21
19961230-07:00,21
19961230-09:00,22
19961230-10:00,22
19961230-11:00,21
19961230-12:00,
19961230-13:00,16
19961230-14:00,15
19961230-15:00,14
19961230-16:00,13
19961230-17:00,13
19961230-18:00,13
19961230-19:00,12
19961230-20:00,11
19961230-21:00,11
19961230-22:00,11
19961230-23:00,10
19961231-00:00,10
19961231-01:00,11
19961231-02:00,11
19961231-03:00,13
19961231-04:00,15
19961231-05:00,18
19961231-06:00,20
19961231-08:00,21
19961231-09:00,21
19961231-10:00,21
19961231-11:00,20
19961231-12:00,18
19961231-13:00,16
19961231-14:00,15
19961231-15:00,14
19961231-16:00,13
19961231-17:00,13
19961231-18:00,
19961231-19:00,12
19961231-20:00,11
19961231-21:00,10
19961231-22:00,9
19961231-23:00,9
19970101-00:00,9
19970101-01:00,9
19970101-02:00,9
19970101-03:00,
19970101-04:00,12
19970101-06:00,17
19970101-07:00,19
19970101-08:00,21
19970101-09:00,21
19970101-10:00,21
19970101-11:00,20
19970101-12:00,18
19970101-13:00,16
19970101-14:00,15
19970101-15:00,14
19970101-16:00,13
19970101-17:00,13
19970101-18:00,13
19970101-19:00,12
19970101-20:00,10
19970101-21:00,10
19970101-22:00,9
19970101-23:00,9
19970102-00:00,9
19970102-01:00,8
19970102-02:00,9
19970102-03:00,10
19970102-04:00,12
19970102-05:00,15
19970102-06:00,17
19970102-07:00,19
19970102-08:00,20
19970102-09:00,21
19970102-10:00,20
19970102-11:00,19
19970102-12:00,17
19970102-13:00,14
19970102-14:00,14
19970102-16:00,12
19970102-17:00,11
19970102-18:30,11
19970102-19:00,10
19970102-20:00,10
19970102-21:00,10
19970102-22:00,9
19970102-23:00,9
19970103-00:00,9
19970103-01:00,9
19970103-02:00,10
19970103-03:00,12
19970103-04:00,14
19970103-05:00,16
19970103-06:00,19
19970103-07:00,19
19970103-08:00,20
19970103-09:00,21
19970103-10:00,21
19970103-11:00,19
19970103-12:00,18
19970103-13:00,15
19970103-15:00,14
19970103-17:00,14
19970103-19:00,12
19970103-22:00,12
19970103-23:00,11
19970104-00:00,11
19970104-01:00,11
19970104-02:00,12
19970104-03:00,14
19970104-04:00,17
19970104-05:00,19
19970104-06:00,20
19970104-07:00,20
19970104-08:00,21
19970104-09:00,21
19970104-10:00,21
19970104-11:00,20
19970104-12:00,18
19970104-13:00,15
19970104-14:00,15
19970104-15:00,15
19970104-16:00,16
19970104-18:00,15
19970104-19:00,13
19970104-20:00,13
19970104-21:00,12
19970104-23:00,11
19970105-00:00,11
19970105-01:00,11
19970105-02:00,12
19970105-03:00,14
19970105-04:00,17
19970105-05:00,20
19970105-07:00,21
19970105-08:00,22
19970105-09:00,22
19970105-10:00,22
19970105-11:00,21
19970105-13:00,16
19970105-14:00,16
19970105-16:00,14
19970105-17:00,13
19970105-18:00,12
19970105-19:00,11
19970105-20:00,11
19970105-21:00,10
19970105-22:00,9
19970105-23:00,9
19970106-00:00,9
19970106-01:00,9
19970106-02:00,
19970106-04:00,12
19970106-05:00,16
19970106-06:00,17
19970106-07:00,19
19970106-08:00,19
19970106-09:00,20
19970106-10:00,20
19970106-11:00,18
